x,y,pet
461195,5481473,null
461196,5481473,null
461197,5481473,null
461198,5481473,null
461199,5481473,null
461200,5481473,null
461201,5481473,null
461202,5481473,null
461203,5481473,null
461204,5481473,null
461205,5481473,null
461206,5481473,null
461207,5481473,36.62
461208,5481473,36.62
461209,5481473,36.62
461210,5481473,36.62
461211,5481473,36.62
461212,5481473,36.62
461213,5481473,37.87
461214,5481473,39.12
461215,5481473,40.37
461216,5481473,41.62
461217,5481473,42.87
461218,5481473,43.22
461219,5481473,43.56
461220,5481473,43.90
461221,5481473,44.25
461222,5481473,null
461223,5481473,null
461224,5481473,null
461225,5481473,null
461226,5481473,null
461227,5481473,null
461228,5481473,null
461229,5481473,null
461230,5481473,null
461231,5481473,null
461232,5481473,null
461233,5481473,null
461234,5481473,null
461235,5481473,null
461236,5481473,null
461237,5481473,null
461238,5481473,null
461239,5481473,null
461240,5481473,null
461241,5481473,null
461242,5481473,null
461243,5481473,null
461244,5481473,null
461245,5481473,null
461246,5481473,null
461247,5481473,null
461248,5481473,null
461249,5481473,null
461250,5481473,null
461251,5481473,null
461252,5481473,null
461253,5481473,null
461254,5481473,null
461255,5481473,null
461256,5481473,null
461257,5481473,null
461258,5481473,null
461259,5481473,null
461260,5481473,null
461261,5481473,null
461262,5481473,37.50
461263,5481473,37.49
461264,5481473,37.49
461265,5481473,37.48
461266,5481473,37.47
461267,5481473,37.46
461268,5481473,37.40
461269,5481473,37.33
461270,5481473,37.26
461271,5481473,37.19
461272,5481473,37.13
461273,5481473,37.44
461274,5481473,37.76
461275,5481473,38.08
461276,5481473,38.39
461277,5481473,38.71
461278,5481473,38.69
461279,5481473,38.68
461280,5481473,38.66
461281,5481473,38.65
461282,5481473,null
461283,5481473,null
461284,5481473,null
461285,5481473,null
461286,5481473,null
461287,5481473,null
461288,5481473,null
461289,5481473,null
461290,5481473,null
461291,5481473,null
461292,5481473,43.23
461293,5481473,43.23
461294,5481473,43.23
461295,5481473,43.23
461296,5481473,43.23
461297,5481473,43.23
461298,5481473,43.17
461299,5481473,43.11
461300,5481473,43.06
461301,5481473,43.00
461302,5481473,42.94
461303,5481473,43.32
461304,5481473,43.69
461305,5481473,44.07
461306,5481473,44.44
461307,5481473,null
461308,5481473,null
461309,5481473,null
461310,5481473,null
461311,5481473,null
461312,5481473,null
461313,5481473,null
461314,5481473,null
461315,5481473,null
461316,5481473,null
461317,5481473,37.02
461318,5481473,37.03
461319,5481473,37.03
461320,5481473,37.03
461321,5481473,37.03
461322,5481473,37.03
461323,5481473,37.35
461324,5481473,37.68
461325,5481473,38.00
461326,5481473,38.32
461327,5481473,38.64
461328,5481473,39.93
461329,5481473,41.21
461330,5481473,42.49
461331,5481473,43.78
461332,5481473,null
461333,5481473,null
461334,5481473,null
461335,5481473,null
461336,5481473,null
461337,5481473,null
