x,y,pet
410584,5477424,null
410585,5477424,null
410586,5477424,null
410587,5477424,null
410588,5477424,null
410589,5477424,null
410590,5477424,null
410591,5477424,null
410592,5477424,null
410593,5477424,null
410594,5477424,null
410595,5477424,null
410596,5477424,null
410597,5477424,null
410598,5477424,null
410599,5477424,null
410600,5477424,null
410601,5477424,null
410602,5477424,null
410603,5477424,null
410604,5477424,null
410605,5477424,43.31
410606,5477424,43.31
410607,5477424,43.31
410608,5477424,43.31
410609,5477424,43.31
410610,5477424,43.31
410611,5477424,43.31
410612,5477424,43.31
410613,5477424,43.31
410614,5477424,43.31
410615,5477424,null
410616,5477424,null
410617,5477424,null
410618,5477424,null
410619,5477424,null
410620,5477424,null
410621,5477424,null
410622,5477424,null
410623,5477424,null
410624,5477424,null
410625,5477424,null
410626,5477424,null
410627,5477424,null
410628,5477424,null
410629,5477424,null
410630,5477424,null
410631,5477424,null
410632,5477424,null
410633,5477424,null
410634,5477424,null
410635,5477424,null
410636,5477424,null
410637,5477424,null
410638,5477424,null
410639,5477424,null
410640,5477424,null
410641,5477424,null
410642,5477424,null
410643,5477424,null
410644,5477424,null
410645,5477424,null
410646,5477424,null
410647,5477424,null
410648,5477424,null
410649,5477424,null
410650,5477424,null
410651,5477424,null
410652,5477424,null
410653,5477424,null
410654,5477424,null
410655,5477424,null
410656,5477424,null
410657,5477424,null
410658,5477424,null
410659,5477424,null
410660,5477424,null
410661,5477424,null
410662,5477424,null
410663,5477424,null
410664,5477424,null
410665,5477424,42.98
410666,5477424,42.98
410667,5477424,42.98
410668,5477424,42.98
410669,5477424,42.98
410670,5477424,42.98
410671,5477424,42.98
410672,5477424,42.98
410673,5477424,42.98
410674,5477424,42.98
410675,5477424,null
410676,5477424,null
410677,5477424,null
410678,5477424,null
410679,5477424,null
410680,5477424,null
410681,5477424,null
410682,5477424,null
410683,5477424,null
410684,5477424,null
410685,5477424,42.76
410686,5477424,42.76
410687,5477424,42.76
410688,5477424,42.76
410689,5477424,42.76
410690,5477424,42.76
410691,5477424,42.76
410692,5477424,42.76
410693,5477424,42.76
410694,5477424,42.76
410695,5477424,42.78
410696,5477424,42.83
410697,5477424,42.87
410698,5477424,42.92
410699,5477424,42.96
410700,5477424,43.01
410701,5477424,43.05
410702,5477424,43.10
410703,5477424,43.14
410704,5477424,43.19
410705,5477424,null
410706,5477424,null
410707,5477424,null
410708,5477424,null
410709,5477424,null
410710,5477424,null
410711,5477424,null
410712,5477424,null
410713,5477424,null
410714,5477424,null
410715,5477424,null
410716,5477424,null
410717,5477424,null
410718,5477424,null
410719,5477424,null
410720,5477424,null
410721,5477424,null
410722,5477424,null
410723,5477424,null
410724,5477424,null
410725,5477424,null
410726,5477424,null
410727,5477424,null
410728,5477424,null
410729,5477424,null
410730,5477424,null
410731,5477424,null
410732,5477424,null
410733,5477424,null
410734,5477424,null
410735,5477424,null
410736,5477424,null
410737,5477424,null
410738,5477424,null
410739,5477424,null
410740,5477424,null
410741,5477424,null
410742,5477424,null
410743,5477424,null
410744,5477424,null
410745,5477424,null
410746,5477424,null
410747,5477424,null
410748,5477424,null
410749,5477424,null
410750,5477424,null
410751,5477424,null
410752,5477424,null
410753,5477424,null
410754,5477424,null
410755,5477424,34.81
410756,5477424,35.72
410757,5477424,36.62
410758,5477424,37.52
410759,5477424,38.42
410760,5477424,39.33
410761,5477424,40.23
410762,5477424,41.13
410763,5477424,42.03
410764,5477424,42.93
410765,5477424,43.38
410766,5477424,43.38
410767,5477424,43.38
410768,5477424,43.38
410769,5477424,43.38
410770,5477424,43.38
410771,5477424,43.38
410772,5477424,43.38
410773,5477424,43.38
410774,5477424,43.38
410775,5477424,null
410776,5477424,null
410777,5477424,null
410778,5477424,null
410779,5477424,null
410780,5477424,null
410781,5477424,null
410782,5477424,null
410783,5477424,null
410784,5477424,null
410785,5477424,null
410786,5477424,null
410787,5477424,null
410788,5477424,null
410789,5477424,null
410790,5477424,null
410791,5477424,null
410792,5477424,null
410793,5477424,null
410794,5477424,null
410795,5477424,null
410796,5477424,null
410797,5477424,null
410798,5477424,null
410799,5477424,null
410800,5477424,null
410801,5477424,null
410802,5477424,null
410803,5477424,null
410804,5477424,null
410805,5477424,41.89
410806,5477424,41.89
410807,5477424,41.89
410808,5477424,41.89
410809,5477424,41.89
410810,5477424,41.89
410811,5477424,41.89
410812,5477424,41.89
410813,5477424,41.89
410814,5477424,41.89
410815,5477424,41.87
410816,5477424,41.83
410817,5477424,41.79
410818,5477424,41.75
410819,5477424,41.71
410820,5477424,41.66
410821,5477424,41.62
410822,5477424,41.58
410823,5477424,41.54
410824,5477424,41.50
410825,5477424,null
410826,5477424,null
410827,5477424,null
410828,5477424,null
410829,5477424,null
410830,5477424,null
410831,5477424,null
410832,5477424,null
410833,5477424,null
410834,5477424,null
410835,5477424,null
410836,5477424,null
410837,5477424,null
410838,5477424,null
410839,5477424,null
410840,5477424,null
410841,5477424,null
410842,5477424,null
410843,5477424,null
410844,5477424,null
410845,5477424,null
410846,5477424,null
410847,5477424,null
410848,5477424,null
410849,5477424,null
410850,5477424,null
410851,5477424,null
410852,5477424,null
410853,5477424,null
410854,5477424,null
410855,5477424,40.55
410856,5477424,39.75
410857,5477424,38.94
410858,5477424,38.14
410859,5477424,37.33
410860,5477424,36.52
410861,5477424,35.72
410862,5477424,34.91
410863,5477424,34.11
410864,5477424,33.30
410865,5477424,32.88
410866,5477424,32.83
410867,5477424,32.78
410868,5477424,32.73
410869,5477424,32.68
410870,5477424,32.64
410871,5477424,32.59
410872,5477424,32.54
410873,5477424,32.49
410874,5477424,32.44
410875,5477424,32.85
410876,5477424,33.71
410877,5477424,34.58
410878,5477424,35.44
410879,5477424,36.31
410880,5477424,37.17
410881,5477424,38.04
410882,5477424,38.90
410883,5477424,39.76
410884,5477424,40.63
410885,5477424,41.06
410886,5477424,41.06
410887,5477424,41.06
410888,5477424,41.06
410889,5477424,41.06
410570,5477425,null
410571,5477425,null
410572,5477425,null
410573,5477425,null
410574,5477425,null
410575,5477425,null
410576,5477425,null
410577,5477425,null
410578,5477425,null
410579,5477425,null
410580,5477425,null
410581,5477425,null
410582,5477425,null
410583,5477425,null
410584,5477425,null
410585,5477425,null
410586,5477425,null
410587,5477425,null
410588,5477425,null
410589,5477425,null
410590,5477425,null
410591,5477425,null
410592,5477425,null
410593,5477425,null
410594,5477425,null
410595,5477425,null
410596,5477425,null
410597,5477425,null
410598,5477425,null
410599,5477425,null
410600,5477425,null
410601,5477425,null
410602,5477425,null
410603,5477425,null
410604,5477425,null
410605,5477425,43.31
410606,5477425,43.31
410607,5477425,43.31
410608,5477425,43.31
410609,5477425,43.31
410610,5477425,43.31
410611,5477425,43.31
410612,5477425,43.31
410613,5477425,43.31
410614,5477425,43.31
410615,5477425,null
410616,5477425,null
410617,5477425,null
410618,5477425,null
410619,5477425,null
410620,5477425,null
410621,5477425,null
410622,5477425,null
410623,5477425,null
410624,5477425,null
410625,5477425,null
410626,5477425,null
410627,5477425,null
410628,5477425,null
410629,5477425,null
410630,5477425,null
410631,5477425,null
410632,5477425,null
410633,5477425,null
410634,5477425,null
410635,5477425,null
410636,5477425,null
410637,5477425,null
410638,5477425,null
410639,5477425,null
410640,5477425,null
410641,5477425,null
410642,5477425,null
410643,5477425,null
410644,5477425,null
410645,5477425,null
410646,5477425,null
410647,5477425,null
410648,5477425,null
410649,5477425,null
410650,5477425,null
410651,5477425,null
410652,5477425,null
410653,5477425,null
410654,5477425,null
410655,5477425,null
410656,5477425,null
410657,5477425,null
410658,5477425,null
410659,5477425,null
410660,5477425,null
410661,5477425,null
410662,5477425,null
410663,5477425,null
410664,5477425,null
410665,5477425,42.98
410666,5477425,42.98
410667,5477425,42.98
410668,5477425,42.98
410669,5477425,42.98
410670,5477425,42.98
410671,5477425,42.98
410672,5477425,42.98
410673,5477425,42.98
410674,5477425,42.98
410675,5477425,null
410676,5477425,null
410677,5477425,null
410678,5477425,null
410679,5477425,null
410680,5477425,null
410681,5477425,null
410682,5477425,null
410683,5477425,null
410684,5477425,null
410685,5477425,42.76
410686,5477425,42.76
410687,5477425,42.76
410688,5477425,42.76
410689,5477425,42.76
410690,5477425,42.76
410691,5477425,42.76
410692,5477425,42.76
410693,5477425,42.76
410694,5477425,42.76
410695,5477425,42.78
410696,5477425,42.83
410697,5477425,42.87
410698,5477425,42.92
410699,5477425,42.96
410700,5477425,43.01
410701,5477425,43.05
410702,5477425,43.10
410703,5477425,43.14
410704,5477425,43.19
410705,5477425,null
410706,5477425,null
410707,5477425,null
410708,5477425,null
410709,5477425,null
410710,5477425,null
410711,5477425,null
410712,5477425,null
410713,5477425,null
410714,5477425,null
410715,5477425,null
410716,5477425,null
410717,5477425,null
410718,5477425,null
410719,5477425,null
410720,5477425,null
410721,5477425,null
410722,5477425,null
410723,5477425,null
410724,5477425,null
410725,5477425,null
410726,5477425,null
410727,5477425,null
410728,5477425,null
410729,5477425,null
410730,5477425,null
410731,5477425,null
410732,5477425,null
410733,5477425,null
410734,5477425,null
410735,5477425,null
410736,5477425,null
410737,5477425,null
410738,5477425,null
410739,5477425,null
410740,5477425,null
410741,5477425,null
410742,5477425,null
410743,5477425,null
410744,5477425,null
410745,5477425,null
410746,5477425,null
410747,5477425,null
410748,5477425,null
410749,5477425,null
410750,5477425,null
410751,5477425,null
410752,5477425,null
410753,5477425,null
410754,5477425,null
410755,5477425,34.81
410756,5477425,35.72
410757,5477425,36.62
410758,5477425,37.52
410759,5477425,38.42
410760,5477425,39.33
410761,5477425,40.23
410762,5477425,41.13
410763,5477425,42.03
410764,5477425,42.93
410765,5477425,43.38
410766,5477425,43.38
410767,5477425,43.38
410768,5477425,43.38
410769,5477425,43.38
410770,5477425,43.38
410771,5477425,43.38
410772,5477425,43.38
410773,5477425,43.38
410774,5477425,43.38
410775,5477425,null
410776,5477425,null
410777,5477425,null
410778,5477425,null
410779,5477425,null
410780,5477425,null
410781,5477425,null
410782,5477425,null
410783,5477425,null
410784,5477425,null
410785,5477425,null
410786,5477425,null
410787,5477425,null
410788,5477425,null
410789,5477425,null
410790,5477425,null
410791,5477425,null
410792,5477425,null
410793,5477425,null
410794,5477425,null
410795,5477425,null
410796,5477425,null
410797,5477425,null
